O=C(N1CCCCC1)N2c3ccccc3C=Cc4ccccc24	CHEMBL3103371	pIC50=5.1
CC(C)COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3674953	pIC50=7.44
COCCN(C)C(=O)c1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3679763	pIC50=7.44
COCc1ccccc1C2C(C(=O)c3cccnc3)C(=O)C(=O)N2c4ccc(cc4)c5ccsc5	CHEMBL3674963	pIC50=7.44
COc1ccc(F)cc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3674956	pIC50=7.44
COc1ccc(cn1)C(=O)C2C(C3COC(C)(C)OC3)N(C(=O)C2=O)c4ccc(cc4)c5ccsc5	CHEMBL3674808	pIC50=7.44
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3669835	pIC50=7.44
COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3674898	pIC50=7.44
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cn4)c5cccs5	CHEMBL3684656	pIC50=7.44
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4ccccc4OCCO	CHEMBL3669801	pIC50=7.46
CCOc1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674943	pIC50=7.46
CNC(=O)COc1ncccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3639787	pIC50=7.46
COCCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3679828	pIC50=7.46
COCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674887	pIC50=7.46
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(c(F)c3)c4ccsc4	CHEMBL3674762	pIC50=7.46
COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674765	pIC50=7.46
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OC(F)(F)F	CHEMBL3674820	pIC50=7.47
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4cccnc4OCCCO	CHEMBL3679744	pIC50=7.47
CNC(=O)C(C)(C)c1n[nH]c2C(=O)N(C(c3ccccc3OC)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684582	pIC50=7.47
COc1ccccc1C2N(C(=O)c3[nH]nc(c23)C(C)(C)C(=O)O)c4ccc(cc4)c5cccs5	CHEMBL3684575	pIC50=7.47
COc1ccccc1[C@H]2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5ccon5	CHEMBL3684628	pIC50=7.47
CC(C)COc1ccccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5noc(C)n5	CHEMBL3679785	pIC50=7.48
CC(C)Oc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csnn4	CHEMBL3679796	pIC50=7.48
CC(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCC(=O)O)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679903	pIC50=7.48
CCC(CC)(CO)c1[nH]nc2C(=O)N(C(c3ccccc3OC)c12)c4ccc(cc4)c5ccon5	CHEMBL3684564	pIC50=7.48
COCc1ccccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5ccsc5	CHEMBL3679782	pIC50=7.48
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(SC)cc4	CHEMBL3684608	pIC50=7.48
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cn4)c5cocc5	CHEMBL3684646	pIC50=7.48
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cn4)c5occc5	CHEMBL3684654	pIC50=7.48
C[C@@H](Nc1ncnc2CCN(Cc12)c3ccc(Cl)cn3)c4ccc(nc4)C(F)(F)F	CHEMBL3643336	pIC50=7.48
CC(C)(C)c1n[nH]c2C(=O)N(C(c3cccc[n+]3[O-])c12)c4ccc(cc4)c5ccsc5	CHEMBL3679918	pIC50=7.5
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4CCC(=O)N	CHEMBL3679798	pIC50=7.5
CC(C)Oc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674925	pIC50=7.5
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3CO)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679930	pIC50=7.5
COC(=O)C(C)(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OC	CHEMBL3679816	pIC50=7.5
COCCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669802	pIC50=7.5
COCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674792	pIC50=7.5
CSc1ccc(cc1)N2C(C(C(=O)C(C)C)C(=O)C2=O)c3ccccc3OCC4CC4	CHEMBL3679847	pIC50=7.5
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCO)c12)c4ccc(cc4)c5ccon5	CHEMBL3679944	pIC50=7.51
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4C(=O)N(C)C	CHEMBL3674914	pIC50=7.51
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674821	pIC50=7.51
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cn4)c5occc5	CHEMBL3684661	pIC50=7.51
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cccs5	CHEMBL3684626	pIC50=7.51
CSc1ccc(cc1)N2C(C(C(=O)C(C)C)C(=O)C2=O)c3ccccc3OCC4CCOCC4	CHEMBL3679849	pIC50=7.51
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674890	pIC50=7.52
COCCOc1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674772	pIC50=7.52
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674783	pIC50=7.52
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cccs3)c4cccnc4OCCO	CHEMBL3674756	pIC50=7.54
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OCC5CC5	CHEMBL3679846	pIC50=7.54
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4C(=O)N(C)C	CHEMBL3674915	pIC50=7.54
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCCO	CHEMBL3674774	pIC50=7.54
COc1ccc(cn1)[C@@H](CCO)Nc2ncnc3CCN(Cc23)c4ccc(C)cn4	CHEMBL3643342	pIC50=7.54
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OCC5CCOCC5	CHEMBL3679848	pIC50=7.55
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674789	pIC50=7.55
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5occc5	CHEMBL3684610	pIC50=7.55
Cc1ccc(nc1)N2CCc3ncnc(N[C@H](CCO)c4ccc(C)nc4)c3C2	CHEMBL3643345	pIC50=7.55
CC(C)(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCCO)c12)c4ccc(cc4)c5cocc5	CHEMBL3679892	pIC50=7.57
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4C#N	CHEMBL3674769	pIC50=7.57
CCCC(CCC)C1C(C(=O)c2ccc(CO)cc2)C(=O)C(=O)N1c3ccc(cc3)c4ccon4	CHEMBL3669699	pIC50=7.57
CCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679945	pIC50=7.57
COc1cc(F)ccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674844	pIC50=7.57
COc1ccc(cn1)[C@@H](CO)Nc2ncnc3CCN(Cc23)c4ccc(C)cn4	CHEMBL3643344	pIC50=7.57
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccc(C)s5	CHEMBL3684669	pIC50=7.57
CC(C)Oc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)N4CCCC4	CHEMBL3674961	pIC50=7.59
CC(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCC(=O)N)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679904	pIC50=7.59
COCCOc1ncccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5ccsc5	CHEMBL3679783	pIC50=7.59
COc1ccc(F)cc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674954	pIC50=7.59
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCCN(C)C	CHEMBL3669803	pIC50=7.6
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4OC(F)F	CHEMBL3674873	pIC50=7.6
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674790	pIC50=7.6
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(nc4)c5cccs5	CHEMBL3684665	pIC50=7.6
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cccs3)c4cccnc4OCCO	CHEMBL3669814	pIC50=7.62
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4OCCO	CHEMBL3674782	pIC50=7.62
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4OC(F)(F)F	CHEMBL3674874	pIC50=7.62
CC(C)N1Cc2c(NCc3cnc4ccccc4c3)nc(nc2C1=O)N5CCN(CC5)C(=O)C	CHEMBL2011125	pIC50=7.62
COCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3674759	pIC50=7.62
COc1ccccc1C2N(C(=O)c3n[nH]c(C4CC4)c23)c5ccc(cc5)c6ccsc6	CHEMBL3679927	pIC50=7.62
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(nc4)c5ccsc5	CHEMBL3684663	pIC50=7.62
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5cccs5	CHEMBL3679953	pIC50=7.62
Cc1ccc(nc1)N2CCc3ncnc(N[C@H](CCO)c4ccc(nc4)C(F)(F)F)c3C2	CHEMBL3643347	pIC50=7.62
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4OCCO	CHEMBL3674780	pIC50=7.64
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3NC(=O)C)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679929	pIC50=7.64
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4occc4	CHEMBL3674758	pIC50=7.64
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(SC)cc4	CHEMBL3679877	pIC50=7.64
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3669742	pIC50=7.64
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684625	pIC50=7.64
CC(C)Oc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674910	pIC50=7.66
CNC(=O)COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669827	pIC50=7.66
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679869	pIC50=7.66
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3669850	pIC50=7.66
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5nccs5	CHEMBL3684562	pIC50=7.66
CC(C)N1Cc2c(N[C@H](C)c3cnc4ccccc4c3)nc(nc2C1=O)N5CCN(CC5)C(=O)C	CHEMBL2324342	pIC50=7.68
CC(C)Oc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679870	pIC50=7.68
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674822	pIC50=7.68
COCCOc1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3674875	pIC50=7.68
COc1ccc(cc1)C(=O)C2C(C3CCCCC3)N(C(=O)C2=O)c4ccc(cc4)c5onc(C)n5	CHEMBL3669709	pIC50=7.68
COc1cccc(c1)[C@@H](C)Nc2ncnc3CCN(Cc23)c4ccc(C)cn4	CHEMBL3643332	pIC50=7.68
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5ccsc5	CHEMBL3679952	pIC50=7.68
COCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3674872	pIC50=7.7
COCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674823	pIC50=7.7
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(nc4)c5cocc5	CHEMBL3684650	pIC50=7.7
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4cccnc4OCCO	CHEMBL3669809	pIC50=7.72
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4OCCO	CHEMBL3674899	pIC50=7.72
CC(C)COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3639738	pIC50=7.72
CNC(=O)COc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669837	pIC50=7.72
COCCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3679737	pIC50=7.72
COCCOc1cc(F)ccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3674882	pIC50=7.72
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674785	pIC50=7.72
COCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669812	pIC50=7.72
COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(c(F)c4)c5ccsc5	CHEMBL3684637	pIC50=7.72
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5csc(C)c5	CHEMBL3684668	pIC50=7.72
CSc1ccc(cc1)N2C(c3ccccc3OCCO)c4c(n[nH]c4C(C)(C)C)C2=O	CHEMBL3679864	pIC50=7.72
C[C@@H](Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(F)cc4	CHEMBL3643333	pIC50=7.72
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OC(F)F	CHEMBL3674819	pIC50=7.75
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4cccnc4N5CCOCC5	CHEMBL3679789	pIC50=7.75
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4cccnc4OCCCO	CHEMBL3679823	pIC50=7.75
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4ccccc4OC(C)C	CHEMBL3674916	pIC50=7.75
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3CN(C)C)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679928	pIC50=7.75
CN(C)CCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3679882	pIC50=7.75
COCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4occc4	CHEMBL3674757	pIC50=7.75
COc1cc(F)ccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674843	pIC50=7.75
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cn4)c5cccs5	CHEMBL3684653	pIC50=7.75
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCO)c12)c4ccc(cc4)c5nccs5	CHEMBL3679865	pIC50=7.77
CC(C)(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCCO)c12)c4ccc(cc4)c5occc5	CHEMBL3679894	pIC50=7.77
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OC5CCCC5	CHEMBL3679769	pIC50=7.77
CCOC(=O)c1ccc(cc1)N2C(c3ccccc3OC)c4c(n[nH]c4C(C)(C)C)C2=O	CHEMBL3679906	pIC50=7.77
CNC(=O)COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669793	pIC50=7.77
COCCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3679756	pIC50=7.77
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674775	pIC50=7.77
COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(c(OC)c4)c5ccsc5	CHEMBL3684634	pIC50=7.77
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684611	pIC50=7.77
C[C@@H](Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4cnc(C)nc4	CHEMBL3643348	pIC50=7.77
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cccs3)c4ccccc4OCCO	CHEMBL3669743	pIC50=7.8
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCN(C)C)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679922	pIC50=7.8
CC(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCCO)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679896	pIC50=7.8
COCCOc1cc(F)ccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3674883	pIC50=7.8
COCCOc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669785	pIC50=7.8
COCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674786	pIC50=7.8
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669741	pIC50=7.8
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669804	pIC50=7.8
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5cc[nH]c5	CHEMBL3684631	pIC50=7.8
COc1ccccc1[C@@H]2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674800	pIC50=7.8
C[S+]([O-])CCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669791	pIC50=7.8
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC#N)c12)c4ccc(cc4)c5ccon5	CHEMBL3679951	pIC50=7.82
CN(C)CCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669783	pIC50=7.82
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5noc(C)n5	CHEMBL3679876	pIC50=7.82
COCCOc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3669795	pIC50=7.82
COCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3639736	pIC50=7.82
COCCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674771	pIC50=7.82
COCc1ccccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674903	pIC50=7.82
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3nc4ccc(OC)cc4s3)c5ccccc5OCCO	CHEMBL3669774	pIC50=7.82
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5occc5	CHEMBL3684619	pIC50=7.82
C[C@@H](Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(nc4)C(F)(F)F	CHEMBL3643334	pIC50=7.82
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC(=O)N	CHEMBL3669828	pIC50=7.85
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4cccnc4OCC(=O)N	CHEMBL3669838	pIC50=7.85
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4OC(C)C	CHEMBL3674908	pIC50=7.85
CCC(CC)C1C(C(=O)c2ccc(cc2)C(=O)NCCO)C(=O)C(=O)N1c3ccc(cc3)c4ccon4	CHEMBL3669701	pIC50=7.85
COC(=O)COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679879	pIC50=7.85
COCCOc1ccccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669844	pIC50=7.85
COCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674791	pIC50=7.85
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cocc5	CHEMBL3679889	pIC50=7.85
COCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674788	pIC50=7.85
COCc1ccccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674957	pIC50=7.85
COc1ccc(cc1)C(=O)C2C(C3CCCCC3)N(C(=O)C2=O)c4nc5ccc(OC)cc5s4	CHEMBL3669702	pIC50=7.85
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5cocc5	CHEMBL3684623	pIC50=7.85
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCCO	CHEMBL3669739	pIC50=7.89
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCO)c12)c4ccc(cc4)c5occc5	CHEMBL3679948	pIC50=7.89
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCCO	CHEMBL3669805	pIC50=7.89
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC[S+](C)[O-]	CHEMBL3669810	pIC50=7.89
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCCCO	CHEMBL3674881	pIC50=7.89
CC(C)COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674952	pIC50=7.89
CCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674944	pIC50=7.89
COCCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3679824	pIC50=7.89
COCCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3669771	pIC50=7.89
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3684671	pIC50=7.89
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3669851	pIC50=7.89
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669825	pIC50=7.89
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cn4)c5ccsc5	CHEMBL3684647	pIC50=7.89
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cccs3)c4ccccc4OCCO	CHEMBL3674751	pIC50=7.92
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCc5nnn[nH]5	CHEMBL3669853	pIC50=7.92
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4OCC5OCCO5	CHEMBL3679766	pIC50=7.92
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OC(C)C	CHEMBL3674812	pIC50=7.92
