O=C(N1CCCCC1)N2c3ccccc3C=Cc4ccccc24	CHEMBL3103371	pIC50=5.1
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4Cl	CHEMBL3669831	pIC50=6.21
CCc1ccc(cc1)C(C)Nc2ncnc3CCN(Cc23)c4ccc(C)cn4	CHEMBL3643313	pIC50=6.22
CSc1ccc(cc1)N2C(C(C(=O)C(C)(C)C)C(=O)C2=O)c3cccnc3OCCO	CHEMBL3669813	pIC50=6.22
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4cccc5OCOc45	CHEMBL3669730	pIC50=6.23
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3onc(C)c3)c4ccccc4OC(F)(F)F	CHEMBL3674860	pIC50=6.23
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cscn4	CHEMBL3674924	pIC50=6.23
COc1ccccc1C2C(C(=O)C(F)(F)F)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669703	pIC50=6.23
Cc1nc(CCc2cccc(Oc3ccccc3)c2)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091620	pIC50=6.23
CC(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCCO)c12)c4ccc(cc4)c5ccon5	CHEMBL3679895	pIC50=6.24
COC1=C(C(N(C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4OC)C(=O)CC(C)C	CHEMBL3674847	pIC50=6.24
COCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3669816	pIC50=6.24
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)C(C)(C)C	CHEMBL3669724	pIC50=6.24
Cc1onc(n1)c2ccc(cc2)N3C(C4CCCCC4)C(C(=O)c5cc[nH]c5)C(=O)C3=O	CHEMBL3679815	pIC50=6.24
COCCOc1ncccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5ccon5	CHEMBL3679786	pIC50=6.26
COc1ccc(cc1)c2n[nH]c3C(=O)N(C(C4CCCCC4)c23)c5ccc6[nH]ccc6c5	CHEMBL3679905	pIC50=6.26
Cc1cc(on1)c2ccc(cc2)N3C(C(C(=O)C(C)(C)C)C(=O)C3=O)c4ccccc4OCCO	CHEMBL3669748	pIC50=6.26
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)n4	CHEMBL3674794	pIC50=6.27
COc1cccc(OC)c1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679909	pIC50=6.27
COc1ccccc1C2N(C(=O)c3[nH]nc(c23)C(C)(C)C(=O)O)c4ccc(cc4)c5ccon5	CHEMBL3684572	pIC50=6.28
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3onc(C)c3)c4ccccc4OC(F)F	CHEMBL3674857	pIC50=6.29
CN(C)c1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669737	pIC50=6.29
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)n4	CHEMBL3674929	pIC50=6.29
COCc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5onc(C)c5	CHEMBL3679914	pIC50=6.29
COCc1ccccc1[C@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674778	pIC50=6.29
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)N(C)C	CHEMBL3684609	pIC50=6.3
CC(C)(C)c1n[nH]c2C(=O)N(C(c3cccc[n+]3[O-])c12)c4ccc(cc4)c5cc[o+][n-]5	CHEMBL3679907	pIC50=6.31
CC(C)OCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3679802	pIC50=6.31
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)n4	CHEMBL3674795	pIC50=6.31
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cc(C)on4	CHEMBL3674959	pIC50=6.31
Cc1onc(n1)c2ccc(cc2)N3C(C4CCCCC4)C(C(=O)CC5CCCC5)C(=O)C3=O	CHEMBL3674941	pIC50=6.31
COCCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3669778	pIC50=6.32
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3679743	pIC50=6.32
COc1ccccc1[C@H]2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674801	pIC50=6.32
Cc1nc(Cc2cccc(Oc3ccccc3)c2)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091619	pIC50=6.32
CCCc1ccc(cc1)N2C(C(C(=O)C(C)(C)C)C(=O)C2=O)c3ccccc3OC	CHEMBL3669723	pIC50=6.33
COCCNC(=O)c1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3679839	pIC50=6.33
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccccc4	CHEMBL3674803	pIC50=6.33
COc1ccccc1C2C(C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4)S(=O)(=O)C	CHEMBL3679734	pIC50=6.33
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(Br)cc4	CHEMBL3684620	pIC50=6.33
Cc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cccs5	CHEMBL3684548	pIC50=6.33
CCOC(=O)C1N(C(=O)c2n[nH]c(C(C)C)c12)c3ccc(cc3)c4ccsc4	CHEMBL3684593	pIC50=6.34
CCc1oc2ccc(cc2n1)N3C(C(C(=O)C(C)C)C(=O)C3=O)c4ccccc4OC(C)C	CHEMBL3674966	pIC50=6.34
COc1ccc(CCc2nc(C)c(O)c(C(=O)O)c2C(=O)O)cc1	CHEMBL3091607	pIC50=6.34
Cc1nc(CCc2ccc(cc2)C(=O)O)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091610	pIC50=6.34
COc1ccc(cc1)c2n[nH]c3C(=O)N(Cc4cc(C)on4)C(C5CCCCC5)c23	CHEMBL3684607	pIC50=6.35
COc1ccccc1C2C(C(=O)CC(C)(C)C(=O)O)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3679817	pIC50=6.35
COc1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674886	pIC50=6.35
COc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3669735	pIC50=6.36
CC(C)(C)C(=O)C1=C(O)C(=O)N(C1c2cccc[n+]2[O-])c3ccc(cc3)c4ccsc4	CHEMBL3669757	pIC50=6.37
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4cccnc4C(=O)N5CCCC5	CHEMBL3679838	pIC50=6.37
COCCOc1ncccc1[C@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674936	pIC50=6.37
COc1ccc(cc1)c2n[nH]c3C(=O)N(C(c4ccccc4OCCO)c23)c5nc6ccc(OC)cc6s5	CHEMBL3684546	pIC50=6.37
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(c(C)c3)c4ccsc4	CHEMBL3674763	pIC50=6.37
COc1ncccc1C2C(C(=O)CC(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674964	pIC50=6.37
Cc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684549	pIC50=6.37
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(Cl)cc4Cl	CHEMBL3643321	pIC50=6.38
CNc1cc(on1)c2ccc(cc2)N3C(c4ccccc4OC)c5c(n[nH]c5C(C)(C)C)C3=O	CHEMBL3684565	pIC50=6.38
COCCOc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3669796	pIC50=6.38
COCc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5noc(C)n5	CHEMBL3679915	pIC50=6.38
CC[C@@H](Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccccc4	CHEMBL3643329	pIC50=6.39
CO\N=C(\C)/c1ccc(cc1)N2C(c3ccccc3OC)c4c(n[nH]c4C(C)(C)C)C2=O	CHEMBL3684571	pIC50=6.39
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(Br)cn4	CHEMBL3639835	pIC50=6.39
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4C(=O)N5CCOCC5	CHEMBL3679807	pIC50=6.4
CCC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccccc4	CHEMBL3643325	pIC50=6.4
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)n4	CHEMBL3674932	pIC50=6.4
Cc1onc(n1)c2ccc(cc2)N3C(C4CCCCC4)C(C(=O)C3=O)S(=O)(=O)c5ccccc5	CHEMBL3679765	pIC50=6.4
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cccs3)c4cccc[n+]4[O-]	CHEMBL3669761	pIC50=6.41
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3S(=O)(=O)C)c12)c4ccc(cc4)c5ccon5	CHEMBL3684541	pIC50=6.41
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4cccnc4C(=O)NC(C)C	CHEMBL3679837	pIC50=6.41
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5Cl	CHEMBL3684667	pIC50=6.41
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5noc(C)n5	CHEMBL3684601	pIC50=6.41
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cc(C)on4	CHEMBL3679747	pIC50=6.42
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccon5	CHEMBL3684672	pIC50=6.42
COc1ccc(F)cc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669710	pIC50=6.42
COc1ccccc1C2N(C(=O)c3n[nH]c(C(=C)C)c23)c4ccc(cc4)c5ccon5	CHEMBL3684568	pIC50=6.42
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(SC(F)(F)F)cc4	CHEMBL3679857	pIC50=6.42
COc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4occc4	CHEMBL3669766	pIC50=6.42
Cc1nc(Cc2cccc(Oc3ccccc3)c2)c(\C=C\C(=O)O)c(C(=O)O)c1O	CHEMBL3091632	pIC50=6.42
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4cccnc4OCCO	CHEMBL3669818	pIC50=6.43
COCCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669754	pIC50=6.43
COc1ccccc1C2N(C(=O)C3=C2\C(=N\C)\CC(C)(C)C(=O)O3)c4ccc(cc4)c5ccsc5	CHEMBL3679845	pIC50=6.43
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OCC(=O)N	CHEMBL3669790	pIC50=6.44
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OCCO	CHEMBL3674799	pIC50=6.44
COC(=O)COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669781	pIC50=6.44
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cscn4	CHEMBL3674928	pIC50=6.44
COc1ccccc1C2N(C(=O)c3[nH]nc(c23)C(C)(C)C(=O)N(C)C)c4ccc(cc4)c5ccon5	CHEMBL3684574	pIC50=6.44
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(nc4)c5cocc5	CHEMBL3684664	pIC50=6.44
Cc1nc(Cc2cccc(Oc3ccccc3)c2)c(CCC(=O)O)c(C=O)c1O	CHEMBL3091631	pIC50=6.44
