Cl.CC[C@H](N)C(=O)NC1CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL535596	pKi=6.46
Cl.Cl.CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3C[C@@H]4C[C@@H]4N3C[C@H]2C(=O)N[C@@H]5CCOc6ccccc56	CHEMBL3216147	pIC50=6.46
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNC(=O)N)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL578241	pIC50=6.47
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(Cc4cccc(F)c4)cc23	CHEMBL3699978	pIC50=6.47
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(cc23)C(=O)c4ccccc4	CHEMBL3699977	pIC50=6.47
CCNC(=S)NC[C@H]1CC[C@H]2CC[C@H](N2C(=O)[C@H]1NC(=O)[C@@H](N)CC)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL575154	pIC50=6.48
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNC(=O)C)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL577824	pIC50=6.48
CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)N(C)c3ccccc3)[C@@H]12)C(C)(C)C	CHEMBL459597	pKi=6.48
CN[C@@H](C)C(=O)N[C@H]1CC[C@H](O)C[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL1242922	pKi=6.48
COC[C@H]1CN[C@H](C)CN1CC(=O)N2CC(C)(C)c3cnc(cc23)C(C)(F)F	CHEMBL3700053	pIC50=6.48
CN[C@@H](C)C(=O)N[C@H]1CC[C@@H](O)C[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL1243385	pKi=6.49
CC[C@H](N)C(=O)N[C@H]1[C@@H](CC#N)CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4	CHEMBL572850	pIC50=6.5
CC[C@H](N)C(=O)N[C@H]1[C@@H](CNCc2ccccc2)CC[C@H]3CC[C@H](N3C1=O)C(=O)NC(c4ccccc4)c5ccccc5	CHEMBL584394	pIC50=6.5
